DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Aug-25,EQ,320,322.5,319,321.45,319.8,319.95,320.75,376,234.01,3670375,"1,17,72,87,430.95",76671
19-Aug-25,EQ,315.2,322.2,312.7,314,321.9,321.45,317.63,376,234.01,4343312,"1,37,95,52,014.60",41057
18-Aug-25,EQ,321,321.05,312.45,318.05,314.1,314,314.41,376,234.01,8091527,"2,54,40,81,029.25",73633
14-Aug-25,EQ,327,331.4,317.15,322.5,318.4,318.05,321.2,376,234.01,10549386,"3,38,84,51,231.25",97619
13-Aug-25,EQ,325,326.3,321.05,323.7,323.7,322.5,322.9,376,234.01,2707971,"87,44,15,255.00",41778
12-Aug-25,EQ,321,326.5,320.7,320.95,323.75,323.7,324.08,376,234.01,4392686,"1,42,36,03,474.15",45382
11-Aug-25,EQ,322.25,330,317.2,319.45,320.2,320.95,320.62,376,234.01,7957794,"2,55,14,19,206.00",84374
08-Aug-25,EQ,310.5,321.25,308.6,310.35,319.8,319.45,318.23,376,234.01,10028343,"3,19,13,20,573.40",120108
07-Aug-25,EQ,313.3,314.05,307.15,315.75,310.1,310.35,309.98,376,234.01,5018154,"1,55,55,13,929.65",78892
06-Aug-25,EQ,315.5,318.15,314.4,315.1,316,315.75,316.3,376,234.01,3601019,"1,13,90,04,648.85",63268
05-Aug-25,EQ,317,318,309.55,317.85,314.9,315.1,314.23,376,234.01,6730701,"2,11,49,58,941.60",153541
04-Aug-25,EQ,320.15,320.75,314.9,317.85,318.05,317.85,316.78,376,234.01,3536322,"1,12,02,20,965.50",56099
01-Aug-25,EQ,329,329.3,316.55,329.3,317.2,317.85,320.98,376,234.01,4105518,"1,31,77,73,998.90",61363
31-Jul-25,EQ,330,331.25,323.1,337.05,327.15,329.3,328.12,376,234.01,6867024,"2,25,31,97,152.95",82917
